地区ID,地区名,戦闘形式,人形ID,種類,人形,レベル,改造,リンク数,最大HP,会心率,会心ダメージ,破甲,火力,命中,回避,射速,防御,弾薬数,修復,好感度,誓約,スキル1,スキル2,装備1,装備2,装備3,作戦能力,ダメージ予測 (1-Fairy),ダメージ予測 (2-Fairy),ダメージ予測 (3-Fairy),ダメージ予測 (4-Fairy),順位
1214,初級4,昼戦,20122,AR,Gr G11 Mod,120,3,5,620,68%,175%,15,96,66,51,97,0,0,10,200,1,10,10,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),7912,692,830,969,1107,1
1214,初級4,昼戦,20055,AR,M4A1 Mod,119,3,5,565,68%,150%,15,93,53,53,100,15,0,9,100,0,10,10,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),7839,685,823,960,1097,2
1214,初級4,昼戦,20065,AR,416 Mod,120,3,5,620,45%,160%,15,117,73,75,79,0,0,10,200,1,10,10,専用装備 (5-Star),専用装備 (5-Star),専用装備 (5-Star),7780,680,816,953,1089,3
1214,初級4,昼戦,183,HG,コンテンダー,100,0,5,330,70%,150%,195,49,110,107,44,0,0,16,100,0,10,0,レッドサイト (5-Star),徹甲弾 (5-Star),X外骨格 (5-Star),4889,672,806,941,1075,4
1214,初級4,昼戦,20114,HG,ウェルロッドMkⅡ Mod,118,3,5,405,40%,150%,8,48,78,135,52,5,0,20,100,0,10,10,SFライト (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),4823,663,795,928,1061,5
1214,初級4,昼戦,20097,HG,M950A Mod,115,3,5,400,40%,150%,8,49,57,145,72,0,0,21,100,0,10,10,専用装備 (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),4706,647,776,905,1035,6
1214,初級4,昼戦,20293,AR,AK-15 Mod,116,3,5,590,68%,170%,15,107,57,76,78,0,0,10,100,0,10,10,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),7351,643,771,900,1029,7
1214,初級4,昼戦,20205,AR,AN-94 Mod,115,3,5,590,68%,125%,15,98,74,52,105,0,0,9,100,0,10,8,専用装備 (5-Star),高速弾 (5-Star),チップ (5-Star),7168,627,752,878,1003,8
1214,初級4,昼戦,20233,HG,Px4 ストーム Mod,115,2,5,380,40%,150%,8,47,77,162,57,0,0,21,100,0,10,10,専用装備 (5-Star),ホローポイント弾 (5-Star),T外骨格 (5-Star),4522,621,746,870,994,9
1214,初級4,昼戦,20057,AR,ST AR-15 Mod,115,3,5,535,75%,180%,15,102,67,54,73,0,0,9,100,0,10,10,専用装備 (5-Star),専用装備 (5-Star),専用装備 (5-Star),6869,601,721,841,961,10
1214,初級4,昼戦,20206,AR,AK-12 Mod,115,2,5,565,88%,180%,15,96,71,59,70,0,0,9,100,0,7,6,オプティカル (5-Star),高速弾 (5-Star),集中チップ (5-Star),6809,595,714,834,953,11
1214,初級4,昼戦,20228,SMG,一〇〇式 Mod,115,3,5,1150,25%,150%,15,30,42,146,79,0,0,39,100,0,8,5,T外骨格 (5-Star),専用装備 (5-Star),専用装備 (5-Star),7865,589,707,825,943,12
1214,初級4,昼戦,20010,HG,PPK Mod,115,3,5,340,50%,150%,8,45,65,164,63,0,0,19,100,0,10,10,専用装備 (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),4275,587,705,822,940,13
1214,初級4,昼戦,20008,HG,マカロフ Mod,115,2,5,340,40%,150%,8,43,67,174,61,0,0,19,100,0,10,8,専用装備 (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),4210,578,694,810,926,14
1214,初級4,昼戦,20007,HG,スチェッキン Mod,115,3,5,425,70%,150%,8,48,74,92,66,0,0,23,100,0,10,6,レッドサイト (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),4202,577,693,808,924,15
1214,初級4,昼戦,20115,SMG,スオミ Mod,116,3,5,1125,5%,100%,15,60,58,83,115,0,0,35,200,1,10,10,チップ (5-Star),専用装備 (5-Star),ホロサイト (5-Star),7529,564,677,790,903,16
1214,初級4,昼戦,20060,AR,AS Val Mod,115,3,5,675,68%,200%,15,84,53,53,75,0,0,11,100,0,10,8,オプティカル (5-Star),専用装備 (5-Star),専用装備 (5-Star),6417,561,673,786,898,17
1214,初級4,昼戦,20212,HG,K5 Mod,115,2,5,370,70%,150%,8,47,78,112,62,0,0,21,100,0,8,8,レッドサイト (5-Star),ホローポイント弾 (5-Star),X外骨格 (5-Star),4070,559,671,783,895,18
1214,初級4,昼戦,242,HG,P22,100,0,5,350,45%,150%,8,45,70,156,62,0,0,17,100,0,10,0,専用装備 (5-Star),ホローポイント弾 (5-Star),X外骨格 (5-Star),4034,554,665,776,887,19
1214,初級4,昼戦,20001,HG,コルトSAA Mod,115,2,5,410,20%,150%,15,33,53,126,49,0,0,25,100,0,10,8,SFライト (5-Star),信号弾 (5-Star),T外骨格 (5-Star),3909,537,644,752,859,20
1214,初級4,昼戦,118,AR,9A-91,100,0,5,580,68%,150%,15,80,52,53,103,0,0,9,100,0,10,0,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),6117,535,642,749,856,21
1214,初級4,昼戦,378,AR,SCAR-L,100,0,5,550,20%,100%,15,106,65,55,99,0,0,8,100,0,10,0,ホロサイト (5-Star),専用装備 (5-Star),チップ (5-Star),6104,534,640,747,854,22
1214,初級4,昼戦,20026,SMG,Gr MP5 Mod,115,3,5,900,5%,150%,8,53,40,148,90,0,0,30,100,0,10,4,専用装備 (5-Star),専用装備 (5-Star),専用装備 (5-Star),7116,533,640,747,853,23
