地区ID,地区名,戦闘形式,部隊名,プリセット
1214,初級4,昼戦,1,MXwyMDIwNi05LTQtMzItNDEyOzIwMDU1LTgtNC0zMi05OTsyMDExNC03LTMwNS03Mi0yMTM7MjAxMjItMTQtNC0zMi0xOTA7MjAyMzMtMTMtMjY2LTcyLTM4MXww
1214,初級4,昼戦,2,MXwyMDI5My05LTQtMzItMjc1OzE4My04LTIyNC0yMC01ODsyMDA5Ny03LTE3OS03Mi0zODQ7MjAwNjUtMTQtMTA2LTM1Ni0xNTk7MjAyMDUtMTMtMjc0LTMyLTIzNHww
1214,初級4,昼戦,3,MXwyMDMxMC05LTIyNC03Mi00MDQ7MjAyMjEtOC0yMjQtMTc2LTU4OzIwMDA4LTctMTgwLTIzOC0zNTE7MjAwNjYtMTQtODMtMzY4LTI5OTsyMDA1Ny0xMy0xMDAtMzM4LTYwfDA=
1214,初級4,昼戦,4,MXwyMDIyOC05LTQwLTMzNS0xNjg7MjAwMTItOC0xNjctNzItMzUzOzEzOC03LTEyLTM2MS0yMzQ7MjAwNTYtMTQtNC0xMjYtMzI7MjAwMTAtMTMtMTU1LTcyLTM1NXww
1214,初級4,昼戦,5,MXwyMDAwNy05LTIyNC03Mi0xNzE7MzQ3LTgtMjM0LTIwLTEyOzIwMDY0LTctMTMwLTMyLTM5MDs2LTE0LTMwNS0zNDYtNDA7MjAxMjctMTMtMzk2LTE4Mi0xMnww
1214,初級4,昼戦,6,MXwyMDIxMi05LTIyNC03Mi0zMzQ7MjAyNjItOC00LTMyLTM4MzsyMDIxNi03LTI3My0zMi0yMzQ7MjAwNjAtMTQtNC0xMzUtMzYwOzIxMy0xMy0yMzQtMjAtMTJ8MA==
1214,初級4,昼戦,7,MXwyMDE3MS05LTI2MS0zMi0yMzQ7MjAyMjAtOC0yMjQtNzItNTg7MjAxMTUtNy0xOTctMjg2LTY2OzI2MC0xNC0yMjQtNzItMzIwOzIwMDAxLTEzLTEyMi03Mi00MHww
1214,初級4,昼戦,8,MXwxMjMtOS0zMDItNzItNTg7MjM5LTgtMTItMjY4LTIzNDs0MDEtNy0yMzQtNzItMTI7MTA0My0xNC00LTMyLTM4ODsyMDAxMy0xMy0yMjQtNzItNTh8MA==
1214,初級4,昼戦,9,MXw1NC05LTMyLTQ0LTkxOzEwNDItOC0yMjQtNzItMzg3OzIwMTAxLTctOTItMzU5LTE1NjsyNDItMTQtMjc4LTcyLTU4OzIwMDI2LTEzLTYyLTM0OC0xNTd8MA==
1214,初級4,昼戦,10,MXwyMDE0My05LTE5Mi0zOTEtNjY7MjAxMDMtOC05Mi0zNTgtMTI1OzE0Mi03LTMzMi03Mi01ODszOTMtMTQtMTItMzItMjM0OzIwMTA0LTEzLTI2MC03Mi0xMnww
