地区ID,地区名,戦闘形式,人形ID,種類,人形,レベル,改造,リンク数,最大HP,会心率,会心ダメージ,破甲,火力,命中,回避,射速,防御,弾薬数,修復,好感度,誓約,スキル1,スキル2,装備1,装備2,装備3,作戦能力,ダメージ予測 (1-Fairy),ダメージ予測 (2-Fairy),ダメージ予測 (3-Fairy),ダメージ予測 (4-Fairy),順位
1214,初級4,昼戦,20206,AR,AK-12 Mod,120,3,5,565,88%,185%,15,113,79,66,75,0,0,9,200,1,10,10,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),8517,745,894,1043,1192,1
1214,初級4,昼戦,20055,AR,M4A1 Mod,120,3,5,565,68%,150%,15,98,58,58,100,15,0,9,200,1,10,10,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),8334,729,875,1020,1166,2
1214,初級4,昼戦,20114,HG,ウェルロッドMkⅡ Mod,120,3,5,410,40%,150%,8,51,87,146,52,5,0,20,200,1,10,10,SFライト (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),5114,703,843,984,1125,3
1214,初級4,昼戦,20206,AR,AK-12 Mod,120,3,5,565,88%,185%,15,107,72,60,75,0,0,9,100,0,10,10,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),8000,700,840,980,1120,4
1214,初級4,昼戦,20122,AR,Gr G11 Mod,120,3,5,620,68%,175%,15,96,66,51,97,0,0,10,200,1,10,10,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),7912,692,830,969,1107,5
1214,初級4,昼戦,20233,HG,Px4 ストーム Mod,120,3,5,380,40%,150%,8,57,86,183,56,0,0,21,200,1,10,10,専用装備 (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),5033,692,830,968,1107,6
1214,初級4,昼戦,20293,AR,AK-15 Mod,120,3,5,595,68%,170%,15,113,63,83,78,0,0,10,200,1,10,10,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),7859,687,825,962,1100,7
1214,初級4,昼戦,183,HG,コンテンダー,100,0,5,330,70%,150%,195,51,114,111,44,0,0,16,150,1,10,0,レッドサイト (5-Star),徹甲弾 (5-Star),X外骨格 (5-Star),4993,686,823,961,1098,8
1214,初級4,昼戦,20055,AR,M4A1 Mod,120,3,5,565,68%,150%,15,93,53,53,100,15,0,9,100,0,10,10,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),7839,685,823,960,1097,9
1214,初級4,昼戦,20097,HG,M950A Mod,120,3,5,400,40%,150%,8,53,63,154,72,0,0,21,200,1,10,10,専用装備 (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),4983,685,822,959,1096,10
